OID,FID_,X,Y,BCE_Manuka
315,315,1756306.568661251,5909603.871463325,0.77314817
316,316,1748547.100834548,5909733.091204594,-0.170200001
317,317,1756305.528703077,5909583.897255862,1.416865673
318,318,1748590.748280438,5909712.387863648,-0.282018871
319,319,1748602.572775371,5909702.211561232,-0.359775007
320,320,1748610.397706523,5909692.104999436,-0.412900004
321,321,1756296.707394697,5909494.182825685,0.230125001
322,322,1761658.700060426,5909356.547664264,1.939521738
323,323,1748541.364685957,5909543.924441914,-0.798644639
324,324,1748471.269700944,5909515.090553387,-0.838028978
325,325,1748433.995242593,5909505.773280691,-0.45334074
326,326,1748372.100353539,5909494.806328016,-0.175568831
327,327,1748328.596225069,5909464.249057967,0.401899999
328,328,1762474.971526034,5910237.378306611,0.961776174
329,329,1756366.354753173,5909369.85722211,0.723679215
330,330,1760425.893650032,5909665.636162526,0.928467224
331,331,1761481.182939025,5909139.723543653,1.54847728
332,332,1748340.325970889,5909338.231990943,-0.641939987
333,333,1748322.80174891,5909276.025835874,-0.369106377
334,334,1747825.194861236,5909253.450108516,0.592770506
335,335,1748310.246993005,5909234.781546547,-0.258666679
336,336,1747745.658957883,5909226.60857033,0.977867929
337,337,1747739.386445523,5909138.511241094,0.341759998
338,338,1748289.487670074,5909144.116396984,-0.310270274
339,339,1747735.44493733,5909099.005038884,0.259707863
340,340,1761604.051234375,5908973.344958845,1.446221508
341,341,1747715.808762406,5909058.679414608,0.144771088
342,342,1748272.976418796,5909067.3705052,-0.438632932
343,343,1747701.62694085,5908973.805286132,-0.170559001
344,344,1748239.887259741,5908950.185754655,-0.686961548
345,345,1747675.204745816,5908882.525245524,-0.551707534
346,346,1747660.530097181,5908826.894666397,-0.699666676
347,347,1747650.310222347,5908801.426911672,-0.772782604
348,348,1747642.073781727,5908778.04552856,-0.782195113
349,349,1745824.370787235,5908779.345169305,2.090227244
350,350,1746681.32636748,5908728.736389915,1.092624991
351,351,1745857.49437754,5908742.941992871,1.327291683
352,352,1745888.973704028,5908712.493071755,1.181265833
353,353,1747419.185993242,5908685.572238336,0.255195957
354,354,1747548.542075885,5908654.463252701,-0.726308414
355,355,1747571.723814328,5908660.357135044,-0.834780613
356,356,1747358.43248403,5908660.476518903,0.423709306
357,357,1746087.558912384,5908629.320621791,0.929874991
358,358,1746103.383767211,5908619.07872461,0.795000006
359,359,1747321.606459918,5908608.427540934,0.156455696
360,360,1747334.835929359,5908547.930660638,-0.052599998
361,361,1747342.075396268,5908537.835503801,-0.171024995
362,362,1747349.467619825,5908502.814179703,-0.284231256
363,363,1747338.845719753,5908472.310790474,-0.346690917
364,364,1747334.873723481,5908434.83069548,-0.325205581
365,365,1746651.710893075,5908370.351374655,1.90439997
366,366,1747331.718580294,5908360.21473476,-0.631634723
367,367,1747301.781516763,5908325.324705709,-0.472999983
368,368,1747314.420254994,5908337.016896753,-0.530395661
369,369,1754160.796592047,5908208.004217284,-0.43117647
370,370,1754176.317749475,5908206.578621941,0.854202902
371,371,1746596.591535009,5908844.085419311,0.878341367
372,372,1754088.438395343,5908188.652512734,0.483124984
373,373,1746618.114386368,5908311.842966368,0.324807697
374,374,1754184.234124525,5908176.941791684,0.691000007
375,375,1746266.108684471,5908312.196396711,1.210624988
376,376,1747277.768831401,5908293.484044413,-0.339386023
377,377,1754255.854254217,5908155.699831954,-0.045375003
378,378,1754287.859666192,5908155.844458536,-0.084117639
379,379,1747246.720905997,5908269.754619488,0.12105303
380,380,1754267.670050801,5908145.515103158,0.732389945
381,381,1755567.354229891,5908121.774383912,1.749249993
382,382,1747233.870572492,5908259.64714286,0.133070326
383,383,1754519.135932876,5908130.788915605,0.909736831
384,384,1755467.195723393,5908113.641137722,1.307484276
385,385,1754635.035196018,5908108.915328936,1.153374991
386,386,1755061.168013299,5908106.171615788,0.05359036
387,387,1755522.113144549,5908108.089662728,0.69643631
388,388,1754518.882264468,5908101.062572362,0.254625005
389,389,1754594.863398281,5908099.677873406,-0.189250007
390,390,1755625.312506551,5908125.234929452,0.574229907
391,391,1747222.462317487,5908231.80158698,0.072202157
392,392,1754715.432850491,5908085.449030439,0.22912281
393,393,1755223.838703595,5908096.973684757,1.009028001
394,394,1755410.676961133,5908077.69502058,0.732286196
395,395,1754807.097225272,5908076.712776034,1.190488344
396,396,1754928.41156366,5908063.739567827,1.512092711
397,397,1747219.190510406,5908182.943433076,-0.025833329
398,398,1747231.697213195,5908170.884391502,-0.132649994
399,399,1754073.926802196,5908009.498951691,0.518441175
400,400,1754021.235720395,5907980.507614886,0.648301883
401,401,1754287.43148616,5908051.591464165,0.757877854
402,402,1754056.210420099,5907982.742424147,0.516920455
403,403,1754239.201009655,5907973.222902789,1.184873958
