FID,X,Y,BCE_Kaipara_Harbour_System_Seagrass
254,1725122.900557553162798,5999041.006293884478509,0.226325001000000
255,1711104.473763350397348,5999225.524995341897011,
256,1711092.160729017108679,5999210.732265359722078,
257,1725178.832910839002579,5999019.490963709540665,0.521500004000000
258,1725219.611230264883488,5999020.413917537778616,0.235740744000000
259,1724940.750392507063225,5999050.154290433041751,-0.668447255000000
260,1725150.780798285035416,5999007.489734429866076,-0.390866115000000
261,1725239.008219729876146,5998990.916934981010854,-0.864467560000000
262,1726496.424074594862759,5998959.323223761282861,0.501063827000000
263,1724988.981701290700585,5998973.739368640817702,-0.963000000000000
264,1727609.247866607736796,5998976.839501420035958,-0.816133509000000
265,1725094.403884868370369,5998967.243672864511609,-0.959999979000000
266,1725916.393973765894771,5998949.175927364267409,1.376074397000000
267,1726481.238719585351646,5998946.750950221903622,0.383982055000000
268,1692671.542714838404208,5999354.370364274829626,0.917219503000000
269,1711067.591497899731621,5999191.424474119208753,
270,1724860.253290219698101,5998958.339188262820244,-0.937578974000000
271,1724946.265205306233838,5998956.220611087046564,-0.963034774000000
272,1724967.583354575093836,5998957.946724532172084,-0.963000000000000
273,1725072.957807989325374,5998951.818870835006237,-0.959672730000000
274,1725398.081184872193262,5998978.020951077342033,-0.120576860000000
275,1725469.145479642087594,5998946.339521643705666,-0.925865547000000
276,1725630.626822616439313,5998944.220224586315453,-0.519381808000000
277,1725905.577683620620519,5998940.061350639909506,0.583734934000000
278,1726431.325518733821809,5998930.424850164912641,0.682553190000000
279,1725185.969818899175152,5998940.635834638960660,-0.957181833000000
280,1725729.192614801693708,5998944.461810389533639,-0.083557886000000
281,1725858.776426431257278,5998948.173307671211660,0.381840498000000
282,1726805.827762974426150,5998917.074823872186244,-0.865999997000000
283,1724846.380780973704532,5998935.528126431629062,-0.940545445000000
284,1724999.939782986883074,5998933.332516266033053,-0.962464292000000
285,1725129.252653183182701,5998931.481486977078021,-0.958999991000000
286,1725153.498819035012275,5998931.134205801412463,-0.958259260000000
287,1725361.229067599866539,5998934.489185034297407,-0.940354490000000
288,1727593.828879931708798,5998903.954315697774291,-0.826694612000000
