OID,FID_,X,Y,BCE_Waitem
271,271,1747484.442756327,5929451.413414838,-9999.0
272,272,1743446.629073566,5929499.607590118,0.255607958
273,273,1745745.883387783,5929518.513651445,-0.454909111
274,274,1748680.920155272,5929410.105041682,0.383035718
275,275,1743410.913111159,5929510.61474345,0.196140141
276,276,1747575.540680274,5929419.549552096,-9999.0
277,277,1747615.630033192,5929418.856699839,-9999.0
278,278,1748665.956299782,5929390.467337564,-0.147423072
279,279,1743277.800982016,5929472.595222152,-0.779333346
280,280,1743267.104935128,5929488.332959753,0.055599995
281,281,1748480.614547635,5929373.75298303,-9999.0
282,282,1748606.839169691,5929381.788801529,-0.199064177
283,283,1745268.320396483,5929421.418709546,-9999.0
284,284,1745573.755794112,5929413.816551114,0.126612679
285,285,1745820.69211905,5929410.173697316,-0.140805562
286,286,1748473.592695591,5929363.905935613,-9999.0
287,287,1743342.7276031,5929442.339037213,-9999.0
288,288,1748520.941809895,5929353.113774076,-0.540775001
289,289,1748565.808964163,5929358.149096246,0.016867361
290,290,1745668.989847725,5929389.36340173,0.215408099
291,291,1743481.464079398,5929451.276807813,0.190463685
292,292,1748440.043064117,5929344.35011468,-0.920000043
293,293,1746079.015423769,5929363.012970613,0.118115169
294,294,1747550.260982695,5929330.264652591,-9999.0
295,295,1743284.898715121,5929417.647650313,-0.044330561
296,296,1743564.270374844,5929386.617724458,0.279596158
297,297,1744722.57688817,5929381.871096815,0.284519093
298,298,1745641.695968927,5929352.856744268,-0.641107677
299,299,1745802.778208027,5929383.184467996,0.155765431
300,300,1747541.740428526,5929320.040389339,-9999.0
301,301,1743409.021050328,5929381.25721111,-0.965666682
302,302,1744635.073161869,5929365.406387347,0.433648713
303,303,1748388.399826651,5929327.907293998,-0.683162191
304,304,1743428.139520184,5929360.615520461,-9999.0
305,305,1744498.661215177,5929342.36756698,0.000773587
306,306,1747693.568059257,5929287.911055072,-9999.0
307,307,1748407.891184222,5929275.325808598,0.188775505
308,308,1743275.596286175,5929357.990536024,0.1142
309,309,1743897.336612858,5929341.878495798,0.466666665
310,310,1744462.412935475,5929333.011928782,0.011900005
311,311,1744785.717464424,5929326.63453705,-0.413213112
312,312,1746231.500946466,5929314.289780409,-0.815232557
313,313,1743479.421632683,5929340.621123714,-0.988666693
314,314,1744441.883040957,5929338.842165591,0.496687499
315,315,1747707.119629497,5929273.229278403,-9999.0
