OID,FID_,X,Y,BCE_Otago_
436,436,1418143.080130499,4926407.491877711,-9999.0
437,437,1420499.553495644,4926482.024537933,-9999.0
438,438,1417559.449559598,4926387.062537212,-0.736268137
439,439,1418725.854130416,4926418.957309488,-9999.0
440,440,1423280.54126648,4926552.946087673,-9999.0
441,441,1419646.689904682,4926443.7285445,-9999.0
442,442,1419707.254673217,4926445.809825773,-9999.0
443,443,1420565.998260718,4926463.233847328,-9999.0
444,444,1417588.418679277,4926365.666874057,-0.810923707
445,445,1418701.691911969,4926398.583077879,-9999.0
446,446,1419675.715603878,4926427.62268446,-9999.0
447,447,1419711.154115827,4926422.468937038,-9999.0
448,448,1420674.326609009,4926450.77158226,-9999.0
449,449,1420620.857019163,4926448.422881879,-9999.0
450,450,1417602.902432379,4926348.364641079,-9999.0
451,451,1419704.449244457,4926402.706470557,-9999.0
452,452,1419732.375971167,4926403.517354259,-9999.0
453,453,1417630.855988791,4926348.683839391,-0.970500022
454,454,1418102.944049947,4926346.382897502,-9999.0
455,455,1419464.36955651,4926386.118722584,-9999.0
456,456,1417963.256727802,4926331.718021678,-0.871826079
457,457,1419474.924307076,4926366.070929231,-9999.0
458,458,1417429.761057696,4926320.108120176,-9999.0
459,459,1418103.019402192,4926321.139770065,-9999.0
460,460,1418423.191366684,4926576.975614721,-0.787627652
461,461,1419443.784681095,4926350.286355455,-9999.0
462,462,1420903.745461956,4926387.850166061,-9999.0
463,463,1417380.46809676,4926276.068003788,-0.803783827
464,464,1418195.166962181,4926299.139676383,-9999.0
465,465,1417193.253109964,4926259.149419298,-9999.0
466,466,1418426.435795962,4926275.940886427,-9999.0
467,467,1419327.059556917,4926302.214465348,-9999.0
468,468,1417680.709898493,4926242.34572532,-9999.0
469,469,1419076.013505618,4926284.915142375,-9999.0
470,470,1418427.019550696,4926255.980254143,-9999.0
471,471,1417969.234759077,4926246.987710757,-0.775158449
472,472,1418175.629222998,4926238.052253083,-9999.0
473,473,1419055.650533068,4926264.344129923,-9999.0
474,474,1419381.042515788,4926273.971659863,-9999.0
475,475,1419415.012636206,4926293.221903121,-9999.0
476,476,1418385.714104475,4926234.794411845,-9999.0
477,477,1418207.771430168,4926209.231718584,-9999.0
478,478,1417157.499629752,4926168.195875224,-9999.0
479,479,1418418.711780048,4926222.433532818,-9999.0
480,480,1418219.326164462,4926189.969479414,-9999.0
481,481,1420592.233037855,4926263.713967743,-9999.0
482,482,1418098.857925544,4926234.017021207,-9999.0
483,483,1418359.247930481,4926184.075864868,-9999.0
484,484,1420653.414045055,4926250.924564589,-9999.0
485,485,1420617.54672175,4926239.369718131,-9999.0
486,486,1418334.904207182,4926167.79826839,-9999.0
487,487,1423154.21910762,4926308.386238934,-9999.0
488,488,1417134.38723526,4926122.564784308,-0.715435915
489,489,1418307.265049551,4926152.211012526,-9999.0
490,490,1418607.467123067,4926160.98933362,-9999.0
491,491,1419397.618516717,4926184.554978584,-9999.0
492,492,1419438.259023765,4926185.207072165,-9999.0
493,493,1419495.358758861,4926187.397447706,-9999.0
494,494,1419539.988090807,4926188.542021595,-9999.0
495,495,1420651.647876456,4926221.044148882,-9999.0
496,496,1418339.471609594,4926143.54179104,-9999.0
497,497,1418392.874334929,4926135.26811244,-9999.0
498,498,1419389.969584788,4926163.824939924,-9999.0
499,499,1419439.410389366,4926165.952331878,-9999.0
500,500,1419487.70950381,4926166.667538496,-9999.0
501,501,1420527.941644238,4926196.825472673,-9999.0
502,502,1422759.005728297,4926261.29619843,-9999.0
503,503,1419610.795378423,4926168.74428143,-9999.0
504,504,1421737.263209332,4926222.207668078,-9999.0
505,505,1423134.45543364,4926278.555734232,-9999.0
506,506,1417949.042819689,4926101.55663972,-9999.0
507,507,1418420.13574764,4926115.557790843,-9999.0
508,508,1419242.557916641,4926140.223805182,-9999.0
509,509,1419429.446064979,4926145.372882245,-9999.0
510,510,1418392.507559726,4926109.550385917,-9999.0
511,511,1419677.21951916,4926141.388918947,-9999.0
512,512,1422780.804668692,4926231.953093009,-9999.0
513,513,1419230.559259827,4926119.230332166,-9999.0
514,514,1421708.500667171,4926195.106519317,-9999.0
515,515,1418211.11978412,4926083.694957687,-9999.0
516,516,1418239.045261185,4926084.512599855,-9999.0
517,517,1418345.125649109,4926087.845440651,-9999.0
518,518,1419681.838872513,4926123.304864767,-9999.0
519,519,1419719.545526487,4926123.460247946,-9999.0
520,520,1419740.489627815,4926124.068397501,-9999.0
521,521,1419761.433729247,4926124.676476322,-9999.0
522,522,1422736.904367077,4926214.553095159,-9999.0
523,523,1418076.224382472,4926065.911254809,-9999.0
524,524,1422851.472941815,4926204.004529094,-9999.0
525,525,1418100.5246275,4926058.796716015,-9999.0
526,526,1418658.510484156,4926076.801504335,-9999.0
527,527,1419741.360077625,4926104.116199798,-9999.0
528,528,1419762.013222113,4926104.715832495,-9999.0
529,529,1419779.964700365,4926105.614146473,-9999.0
530,530,1419826.093507093,4926107.105862206,-9999.0
