OID,FID_,X,Y,BCE_Tauran
65,65,1862728.188198275,5850614.75473762,-0.713999987
66,66,1862721.786913891,5850597.503777363,-0.713999987
67,67,1861622.994484229,5850598.955420452,-0.27112963
68,68,1861395.165742912,5850602.420646948,-0.346751444
69,69,1861629.375965324,5850548.857901411,-0.38407408
70,70,1862940.739027831,5850923.752408018,-0.16149433
71,71,1862077.817305157,5850499.306859782,-0.504462615
72,72,1861169.236289985,5850468.603947815,0.037465116
73,73,1862938.349395985,5850407.620459293,-0.713999987
74,74,1861650.790056759,5850419.95265877,-0.632521742
75,75,1863006.677520483,5850329.458459643,-0.027167686
76,76,1861197.730340276,5850369.743067198,-0.022949276
77,77,1861829.906483784,5850342.757955926,-0.713999987
78,78,1861779.234995175,5850357.995067626,-0.710436939
79,79,1861841.514306694,5850332.413468777,-0.713999987
80,80,1861082.050633561,5850346.492532959,0.064907407
81,81,1861853.281141911,5850321.85606157,-0.713999987
82,82,1863027.104003279,5850295.753604109,-0.073117452
83,83,1863044.162384614,5850248.99192433,-0.172318393
84,84,1862209.033435202,5850261.17795349,-0.072607144
85,85,1862144.511543025,5850233.271437802,-0.40425926
86,86,1863082.160374396,5850193.506912388,-0.188455692
87,87,1860916.780210911,5850290.373956615,0.151178862
88,88,1862167.422801297,5850220.712372004,-0.233397591
89,89,1861173.980893035,5850233.836242327,-0.034436362
90,90,1861595.195433837,5850220.611645572,-0.401678583
91,91,1862344.126986884,5850201.242310076,-0.196808576
92,92,1863097.425247451,5850173.065408523,-0.015936715
93,93,1861626.350309656,5850213.252572384,-0.390109334
94,94,1863105.057654644,5850162.84464438,-0.031224997
95,95,1861506.891022017,5850219.006869815,-0.442154924
96,96,1861541.481440933,5850208.239731159,-0.444244999
97,97,1862413.155049937,5850174.910759663,-0.389833329
98,98,1860616.335743056,5850203.194351371,0.385410715
99,99,1862140.598794641,5850680.724486234,-0.165940359
100,100,1860793.645059265,5850184.49369265,0.191165719
101,101,1862204.637498619,5850121.603876913,-0.211571437
102,102,1862420.104313556,5850128.137590418,-0.365258194
103,103,1862183.832712326,5850157.473621487,-0.230361111
104,104,1861731.732835784,5850116.902928762,-0.349811325
105,105,1860555.344091852,5850151.77450435,0.36870633
106,106,1862197.202881915,5850092.419389272,-0.278455696
107,107,1863156.901480766,5850066.478481168,0.007307375
108,108,1860759.399657377,5850141.814566978,0.194528564
109,109,1861130.07505702,5850224.789760376,-0.013823767
110,110,1861741.495291885,5850066.322071119,-0.488111102
111,111,1863180.277532836,5850025.742943095,0.066000004
112,112,1861788.865638594,5850054.853147698,-0.242714274
113,113,1861740.421364299,5850041.719139362,-0.289290909
114,114,1861758.145665258,5850050.567996904,-0.233347617
115,115,1861747.875288683,5850016.224364097,-0.202145455
116,116,1863198.423356116,5849970.632462769,-0.166568812
117,117,1861933.781016154,5850003.735669916,-0.353021596
118,118,1861555.888122393,5849982.341009735,-0.36845455
119,119,1860442.343397337,5849987.315451196,0.277981813
120,120,1861487.381220456,5849959.648628811,-0.327233647
121,121,1861531.106836049,5849953.181380476,-0.360345448
122,122,1861912.559075935,5849940.772837562,-0.589555544
123,123,1861487.362282051,5849934.973603864,-0.297037732
124,124,1860423.982049075,5849963.808043721,0.253531428
125,125,1861890.484948617,5849915.326899809,-0.13128049
126,126,1860997.71053883,5849934.786204478,-0.259111817
127,127,1861406.657034984,5849922.266338661,-0.189962438
128,128,1860962.022329623,5849925.379958649,-0.156519483
129,129,1861583.330427421,5849912.575303932,-0.364741175
130,130,1861871.134568588,5849897.896257733,-0.292567567
131,131,1862014.56200127,5849890.615328774,-0.713999987
132,132,1861282.866526797,5849901.100306627,-0.301321427
133,133,1860758.044191267,5849907.577256943,-0.064537036
134,134,1861298.447843502,5849890.631854359,-0.314678571
135,135,1861309.782363454,5849879.504045631,-0.294495325
