OID,FID_,X,Y,BCE_Opua_I
306,306,1697309.445100699,6096234.001944768,-0.154935
307,307,1698188.293089658,6096235.687482517,-9999.0
308,308,1702734.6869616,6096174.588063945,0.208230757
309,309,1698243.019517765,6096213.921206487,-9999.0
310,310,1698389.594963884,6096217.264894002,-9999.0
311,311,1698420.525897532,6096211.986751962,-0.984287083
312,312,1698428.587721027,6096201.934605065,-0.894071477
313,313,1698367.66939556,6096198.730408708,-9999.0
314,314,1697230.951594532,6096191.122958818,-0.048198694
315,315,1699392.432722561,6096166.458181403,-0.472000047
316,316,1702537.856574072,6096126.483013541,-9999.0
317,317,1702856.506653735,6096122.856127457,-9999.0
318,318,1702918.385588133,6096122.526770473,-9999.0
319,319,1697202.584554433,6096175.368783646,-0.187056451
320,320,1698553.008873043,6096453.649476564,-0.321040719
321,321,1699408.609042027,6096151.333607079,-0.399716461
322,322,1696222.011396161,6096194.31127204,0.090291299
323,323,1697178.046264237,6096165.703079747,-0.33446025
324,324,1696205.585516596,6096166.852639763,-0.784988114
325,325,1697194.44530296,6096157.498041431,-0.414673465
326,326,1699416.287535097,6096121.560619668,-9999.0
327,327,1702956.937089737,6096094.438176423,-0.551444487
328,328,1696131.940687218,6096146.469656153,-0.785000026
329,329,1696172.683692157,6096146.54859238,-0.785000026
330,330,1696470.899780339,6096143.017931473,-0.845000029
331,331,1696217.518371015,6096136.45351702,-0.786085222
332,332,1696063.871300489,6096122.554939862,-0.785000026
333,333,1702971.560138746,6096063.716554659,-0.358475033
334,334,1696001.958725059,6096124.912704744,-0.393628207
335,335,1696572.607031981,6096102.420397907,-0.845018451
336,336,1695985.399594581,6096097.892556551,-0.785000026
337,337,1696384.589831656,6096095.19328265,-0.845000029
338,338,1696441.774599584,6096093.855667342,-0.845000029
339,339,1696471.774373165,6096180.81927352,0.036155762
340,340,1696098.286079122,6096088.645883857,-0.785000026
341,341,1696076.192064431,6096080.358722568,-0.785000026
