OID,FID_,X,Y,BCE_Akaroa
68,68,1594165.388207324,5154672.133192524,-0.511553379
69,69,1592982.582143766,5154662.285347265,0.202978573
70,70,1594183.29387843,5154652.562558035,-0.256964907
71,71,1593793.521573895,5154633.920759552,-0.271527775
72,72,1594230.111001844,5154640.657162324,-0.927111063
73,73,1593873.50926953,5154583.914757843,-0.455904766
74,74,1594204.888261858,5154576.695725799,-0.694526345
75,75,1594188.398766994,5154566.172828994,-0.267313427
76,76,1592965.984169591,5154586.502908086,0.22180208
77,77,1595323.143349809,5154578.535287582,-0.302616127
78,78,1592893.482399052,5154521.383312323,0.199372666
79,79,1592976.719014828,5154469.946086017,-0.169366881
80,80,1592901.847598043,5154445.791922762,-0.313585861
81,81,1596884.234163569,5154447.722420506,0.313158332
82,82,1592822.088900924,5154439.880988733,0.170572093
83,83,1595341.781258521,5154437.381723072,3.705000009
84,84,1595747.097229243,5154435.656780094,-0.978000045
85,85,1596125.047180261,5154444.378147722,-9999.0
86,86,1595334.411926987,5154427.192058297,-0.252999957
87,87,1595732.529222627,5154426.751587266,-0.92063154
88,88,1595784.631135479,5154434.971793217,-0.667807973
89,89,1596905.352396599,5154420.706254922,1.40416939
90,90,1595709.635081796,5154410.526633654,-9999.0
91,91,1596052.635054258,5154431.319158027,-0.621127436
92,92,1592847.286030282,5154400.254025957,0.097927272
93,93,1593624.949398347,5154396.639156983,-9999.0
94,94,1595369.985591134,5154396.95418831,4.27425006
95,95,1595692.212463351,5154393.728753213,-0.321768111
96,96,1595857.248476738,5154409.6747913,-0.292334167
97,97,1596914.444481679,5154388.41165477,0.402266669
98,98,1592868.998845858,5154380.323940671,0.070386364
99,99,1595613.946079296,5154376.769930267,1.283066676
100,100,1595645.470406516,5154377.240020223,-0.00325004
101,101,1595893.745768292,5154381.209938304,-0.759056926
102,102,1593592.205966067,5154366.301041871,-9999.0
103,103,1595667.153116227,5154372.708097156,-0.889600008
104,104,1594044.353284841,5154357.120298159,-9999.0
105,105,1595493.690727837,5154357.625130596,-9999.0
106,106,1595595.795174831,5154357.862013057,1.19325308
107,107,1595375.61892404,5154354.136652766,-0.501192491
108,108,1596011.43181781,5154372.734725689,-0.849571395
109,109,1592910.626588403,5154338.895023756,0.042876132
110,110,1594066.062373815,5154337.186317554,-9999.0
111,111,1593606.413287246,5154326.408002076,-9999.0
112,112,1592930.52131139,5154320.529430379,-0.021724834
113,113,1593530.333957687,5154321.450198748,-9999.0
114,114,1596940.979267729,5154317.67790899,0.5877483
115,115,1593311.227115187,5154322.096955478,-9999.0
116,116,1593364.741225142,5154306.595254791,-9999.0
117,117,1595894.990466697,5154318.025305785,-0.814174978
118,118,1595913.599796849,5154308.060064202,0.415300008
119,119,1596005.71785916,5154316.359871894,-0.561517439
120,120,1593675.267241029,5154306.3124936,-9999.0
121,121,1594031.898598335,5154371.262397064,-0.55825293
122,122,1595976.172152237,5154290.888650831,-9999.0
123,123,1596014.163901503,5154288.375459342,-9999.0
124,124,1592948.973357504,5154293.647103018,-0.055312941
125,125,1593542.710893258,5154247.052856661,-9999.0
126,126,1593827.467176798,5154251.271666816,-9999.0
