OID,FID_,X,Y,BCE_New_Ri
57,57,1242644.591214825,4847495.042886498,0.513027333
58,58,1240823.987700502,4847394.688073133,0.680613275
59,59,1242667.75423498,4847445.573426595,0.513468034
60,60,1242282.002038304,4847400.263317582,0.507260877
61,61,1240834.531544882,4847323.369038098,0.644580056
62,62,1242299.401696111,4847386.824509597,0.541086652
63,63,1242208.16773875,4847365.884331901,-0.270595238
64,64,1242311.204446006,4847362.452620172,0.785701477
65,65,1242351.532442546,4847324.421186016,0.499618566
66,66,1242241.433952071,4847307.092662991,-0.299851854
67,67,1242327.862070658,4847331.39653994,0.586423157
68,68,1242264.198404085,4847259.223352564,-0.434749997
69,69,1242352.220981946,4847283.498950975,0.578262902
70,70,1242275.191502726,4847246.168977305,-0.46993332
71,71,1240854.238318391,4847194.438204888,0.54315091
72,72,1242377.298155591,4847248.825161511,0.544897537
73,73,1242342.533826024,4847129.463351363,-0.493999988
74,74,1242358.820801718,4847101.631742899,-0.486625008
75,75,1242214.809691816,4847086.364521767,0.395825002
76,76,1242116.136924145,4847032.020705721,0.320228171
77,77,1242210.659501624,4847016.175839548,0.629150624
78,78,1242635.576270216,4846910.894286154,0.70962857
79,79,1240901.44948498,4846903.411060895,0.617865878
80,80,1242628.913741186,4846856.226404223,1.175869204
81,81,1240922.849777124,4846719.523904372,0.716470592
82,82,1242594.389057099,4846733.622372359,0.127000004
83,83,1242466.645071466,4846573.208704345,1.014510994
84,84,1242734.802386612,4846717.286678032,1.327385542
85,85,1242585.573997266,4846467.291710395,0.742685728
86,86,1242462.766173901,4846633.529691802,1.01776371
87,87,1242547.108565071,4846432.835653258,1.006768003
88,88,1242521.528248835,4846403.0349186,0.733798852
89,89,1242428.094431086,4846383.232333166,0.55865934
90,90,1242472.235689235,4846341.021584864,0.710311833
91,91,1242482.995066904,4846330.852739912,1.185458348
92,92,1240968.072299401,4846440.318496581,0.607293279
93,93,1240966.215443686,4846221.341806335,0.706911764
94,94,1242279.99311809,4846262.027291194,-0.550707103
95,95,1242564.313071551,4846346.228341875,0.866342266
96,96,1240937.727808133,4846177.337522387,0.704856109
97,97,1240901.956032835,4846137.413495648,0.805391309
98,98,1241824.155793485,4846171.967853618,-0.88430765
99,99,1242827.898996524,4846232.225024653,0.354904751
100,100,1242754.426104456,4846186.828330038,0.142342857
101,101,1240940.591051276,4846069.597795689,0.554685716
102,102,1240892.62845468,4846109.505389246,0.984313696
103,103,1242711.936795404,4846144.264171596,-0.237107135
104,104,1242692.15788975,4846133.669911036,0.324129033
105,105,1242702.686954662,4846123.799961146,0.437808821
106,106,1240955.895557674,4846018.672148906,0.536888503
107,107,1240945.261490861,4845999.769446414,0.678209281
108,108,1240957.97041574,4845977.727734661,0.618396744
109,109,1242667.361891106,4846093.953448568,0.786011305
110,110,1240980.236146904,4845937.598712281,0.584346868
111,111,1241006.130952677,4845898.218271433,0.554208637
112,112,1241015.099360316,4845863.697041357,0.685691186
113,113,1241030.908867216,4845845.920782248,0.496650344
114,114,1241039.290164547,4845810.047668747,0.601459179
115,115,1242674.064906729,4846013.368999683,0.675334602
116,116,1242681.342148786,4845842.783065433,0.557133339
117,117,1242061.108356132,4845735.302377127,-0.211823532
118,118,1242673.674251874,4845786.777698275,0.58954094
119,119,1242686.59626222,4845702.121925945,0.530872342
120,120,1242430.605227773,4845641.259875203,0.005628945
121,121,1242383.078335707,4845623.459135708,-0.055104168
122,122,1242746.377133934,4845615.214400455,0.483126985
123,123,1242494.656566817,4845613.685871218,0.12037275
124,124,1242750.589067296,4845573.607841383,0.511437607
125,125,1241341.335814889,4845437.204743311,-9999.0
126,126,1242761.969948934,4845524.145738205,0.032832382
127,127,1242770.967368436,4845436.700151497,0.568818751
128,128,1241401.087861515,4845381.453182491,0.68179014
129,129,1241387.02116412,4845287.146236093,0.666792455
130,130,1241420.199484422,4845283.521717678,0.566475001
131,131,1241298.601803736,4845294.413569966,1.07002985
132,132,1241141.555955302,4845503.952237975,0.990199623
133,133,1242767.827647266,4845345.783409434,0.472308689
134,134,1241356.457431396,4845242.954771152,0.596381818
