OID,FID_,X,Y,BCE_Whitfo
269,269,1775550.965768283,5911012.137388572,0.771304344
270,270,1775289.109917958,5910748.346278886,1.021000001
271,271,1774661.349278944,5911198.025739933,0.897675925
272,272,1775360.81174275,5910731.908709874,0.417
273,273,1775663.68659516,5910640.891775827,0.199000009
274,274,1775173.179213482,5910578.020306034,1.265824734
275,275,1775733.049599923,5910539.744980278,1.029625025
276,276,1775585.258881551,5910533.416600725,0.961651372
277,277,1775234.775402027,5911002.724110264,0.80656199
278,278,1775764.640955807,5910519.148343594,1.101749978
279,279,1775069.485434416,5910539.733320809,3.222360398
280,280,1774991.976896126,5910510.256281649,1.429968448
281,281,1775815.91934826,5910488.43767359,1.485660392
282,282,1775176.172280958,5910516.629141444,0.745430843
283,283,1775751.374397129,5910480.200967246,1.073000004
284,284,1775843.824778729,5910477.624041668,2.111999957
285,285,1775139.330408653,5910472.247576634,-0.687250008
286,286,1775799.701090111,5910466.666012448,1.373397528
287,287,1775131.123842312,5910462.445823249,-0.866075957
288,288,1775104.6363184,5910430.442635307,-0.350926934
289,289,1775481.138177514,5910385.418961138,-0.073
290,290,1775081.576442617,5910388.684889712,-0.269000005
291,291,1775381.912813307,5910203.100684376,1.285760861
292,292,1775516.366797359,5910125.441602852,0.902911404
293,293,1775268.093730961,5910110.429004178,1.06839288
294,294,1775570.721524214,5910044.548375673,0.75076923
295,295,1775594.310678983,5910024.118093594,0.839875009
296,296,1775572.301003355,5910014.602333459,0.990322576
297,297,1775593.740930981,5910004.388876544,0.837454555
298,298,1775609.329439252,5909984.12407807,0.719259265
299,299,1775158.786205654,5909863.609478381,1.353374986
300,300,1775119.139339655,5909858.916446177,1.080849042
301,301,1775143.03969903,5909849.541732624,1.096402891
302,302,1775114.670710293,5909665.098139765,1.239625023
303,303,1775122.322274893,5909649.88794571,1.306496832
304,304,1775129.940005861,5909629.8578542,1.350500021
305,305,1775326.900773857,5910223.637630165,0.954408163
