FID,X,Y,BCE_Manukau_Harbour_System_MHS__Seagrass
452,1753521.154222502605990,5910482.093562851659954,
453,1753568.819890320068225,5910431.500798864290118,
454,1762637.260243616998196,5910262.718649737536907,0.272336446000000
455,1749024.879560739733279,5910502.119440345093608,-0.919384578000000
456,1751777.367600172059610,5910468.164646058343351,
457,1752141.191106364130974,5910458.581475251354277,
458,1752249.757585608633235,5910455.408447907306254,
459,1755060.398902257671580,5910393.625877323560417,-0.702685183000000
460,1756715.178382768528536,5910370.735254910774529,0.272367819000000
461,1758956.376065339427441,5910348.908479713834822,0.482142854000000
462,1750216.082739682402462,5910477.905888821929693,-0.824132230000000
463,1752169.220785558922216,5910442.118642766959965,
464,1752196.016963061410934,5910454.946142921224236,
465,1756368.523003714391962,5910360.441254371777177,-0.926603794000000
466,1751792.247250360203907,5910433.551133397035301,
467,1752219.970992902526632,5910426.351468163542449,
468,1752280.255428342614323,5910424.809210300445557,
469,1752615.530478748027235,5910424.608182698488235,
470,1755047.942424311302602,5910410.243816866539419,-0.803370297000000
471,1756792.219499357044697,5910342.296132824383676,0.042051281000000
472,1757313.838821626966819,5910334.668566953390837,0.493999995000000
473,1752208.068246821407229,5910415.732031520456076,
474,1752247.781956184422597,5910419.641070556826890,
475,1752294.950588519219309,5910413.634724976494908,
476,1752600.074572960147634,5910408.692813970148563,
477,1752632.240178842563182,5910408.315627198666334,
