OID,FID_,X,Y,BCE_Patter
114,114,1218905.398298155,4794587.60850181,-9999.0
115,115,1218927.000661722,4794565.043972706,-9999.0
116,116,1220683.224356677,4794766.566812824,-9999.0
117,117,1218959.513173373,4794549.083806698,-9999.0
118,118,1220621.171875343,4794653.226613444,-9999.0
119,119,1219007.107831185,4794545.222379593,-9999.0
120,120,1219026.90845987,4794538.39796699,-9999.0
121,121,1219025.531769216,4794486.792732337,-9999.0
122,122,1220592.731748659,4794620.215848228,-9999.0
123,123,1219064.277834493,4794463.883351323,-9999.0
124,124,1219079.109312391,4794444.29255603,-9999.0
125,125,1224490.233995172,4794787.084481143,-9999.0
126,126,1219105.679347528,4794433.824084341,-9999.0
