OID,FID_,X,Y,BCE_Lyttel
148,148,1574934.265596222,5169833.753645905,0.016323069
149,149,1577461.20005766,5169833.045457862,-0.670969967
150,150,1574891.85613765,5169813.453637545,-0.332113735
151,151,1577582.017745887,5169816.327693209,0.080722237
152,152,1577698.614482219,5169818.689880428,-0.855499953
153,153,1571930.222066455,5169774.610055628,-0.2022931
154,154,1574852.834251384,5169786.591127372,0.915
155,155,1575214.706941064,5169777.03295743,-0.200296306
156,156,1579981.429364804,5169793.01406626,-0.262179061
157,157,1571945.084752401,5169756.158077413,-0.253324326
158,158,1574825.079026722,5169771.98014975,0.007015455
159,159,1571963.266044527,5169744.6602655,-0.165374998
160,160,1571980.946602428,5169736.162341059,1.180900006
161,161,1574776.685755013,5169746.695301841,0.330299311
162,162,1575229.859503521,5169758.696107425,0.267490762
163,163,1579966.162050102,5169763.786107546,-0.039999959
164,164,1574727.310401165,5169725.506549949,-0.440545467
165,165,1577721.736577398,5169747.243505222,-0.127309509
166,166,1579944.530950956,5169735.299458005,-0.631999951
167,167,1575235.272453698,5169715.694232288,0.391873553
168,168,1574671.990316435,5169703.157648338,-0.294995059
169,169,1577748.463684914,5169720.358798439,0.303720964
170,170,1579925.136748016,5169711.566055386,-0.680158693
171,171,1577773.171366198,5169686.525074273,-0.720782557
172,172,1579315.029692378,5169701.109973849,0.422017587
173,173,1579908.993662931,5169693.450420567,-0.478733282
174,174,1575219.773545099,5169674.752057984,-0.358784493
175,175,1575227.777129759,5169657.314394315,-0.252742867
176,176,1575238.684601379,5169647.378152061,0.050666657
177,177,1577819.156314023,5169663.561392998,-0.62069796
178,178,1579886.386673859,5169664.846782573,-0.414736791
179,179,1577885.315821501,5169647.854000727,-0.844978695
180,180,1578021.111285867,5169652.032267239,-9999.0
181,181,1578742.667279943,5169649.435766298,-0.757571382
182,182,1575249.958156107,5169629.923111325,0.534838705
183,183,1575278.717554572,5169620.380302029,-0.281200014
184,184,1578115.974739361,5169627.5540376,-0.341543178
185,185,1578775.342186922,5169629.586311166,-0.665217348
186,186,1578358.67065509,5169618.276788576,-0.804931788
187,187,1578801.111910034,5169610.661337061,-0.603249947
188,188,1574539.503086554,5169584.989710715,-0.205826105
189,189,1575345.07521009,5169584.389880624,-0.800000012
190,190,1578826.600332462,5169590.946692408,0.050089892
191,191,1579300.859143826,5169596.312759315,-0.785759947
192,192,1574526.9748094,5169565.519430657,-0.135575766
193,193,1575358.554572157,5169568.007628376,-0.800000012
194,194,1578604.531212519,5169580.308180492,-0.8943333
195,195,1578424.054402941,5169568.605036983,-0.712275854
196,196,1575358.714974534,5169548.174832259,0.322852942
197,197,1578438.580425372,5169558.675274901,-0.825999945
198,198,1574493.838431051,5169543.031111951,-0.128134841
199,199,1579300.982438941,5169556.407062233,-9999.0
200,200,1575402.033525028,5169528.469007901,-0.800000012
201,201,1574459.37210497,5169516.106023722,0.71251999
202,202,1578503.898975887,5169528.95559395,-0.394999985
203,203,1574451.840327747,5169506.878930458,1.670810793
204,204,1575416.751048126,5169508.362552317,0.208490899
205,205,1578536.542051383,5169519.083724733,0.223352983
206,206,1575447.979929592,5169499.021505448,0.242279855
207,207,1575476.606435445,5169486.19262369,0.376836117
208,208,1575498.481939712,5169469.507861556,-0.507927715
209,209,1575541.887711468,5169447.843472238,-0.154801595
210,210,1575591.798533302,5169427.469222114,0.025029459
211,211,1575698.19700583,5169410.322696183,0.090158227
212,212,1571856.984254194,5169387.348852484,-0.120247421
213,213,1579287.066000602,5169401.648251663,-9999.0
214,214,1575845.96712826,5169360.91922072,-0.797348849
215,215,1571888.492204202,5169295.161687821,0.12516
216,216,1579288.448636839,5169302.280946995,-0.98999995
217,217,1579304.292731127,5169278.899651845,-0.945071384
218,218,1579326.100639112,5169260.116157992,-0.821733299
219,219,1580374.024806457,5169225.994763296,-0.735733293
220,220,1571860.240290129,5169188.490364441,0.07312727
221,221,1579352.987123654,5169142.541846716,-0.899499953
222,222,1580305.732462186,5169125.625009594,-0.751573308
223,223,1580280.636218292,5169105.458147632,-0.3619565
224,224,1573188.38942826,5169071.444915449,-0.501007656
