OID,FID_,X,Y,BCE_Port_F
309,309,1811239.938140786,5993039.374824583,-9999.0
310,310,1811300.825244192,5993013.770793888,-0.520114311
311,311,1811333.143730202,5993012.987689971,-9999.0
312,312,1811462.416012496,5993009.896366796,-9999.0
313,313,1812480.270773914,5992985.318529795,-9999.0
314,314,1810143.997996207,5993037.09893443,-9999.0
315,315,1811081.988764739,5993009.861678349,-0.589263179
316,316,1812287.352935231,5992978.22442958,-0.818972242
317,317,1812470.128345553,5992966.2959332,-9999.0
318,318,1811406.075329781,5992989.699529197,-0.313996062
319,319,1811483.953277714,5992979.264215163,-9999.0
320,320,1811747.020492462,5992981.660158186,-9999.0
321,321,1812414.906713194,5992956.993341207,-9999.0
322,322,1812057.19667641,5992959.225948378,-0.883952406
323,323,1812382.14169353,5992953.744516157,-9999.0
324,324,1812447.139941144,5992946.03455798,-9999.0
325,325,1812565.82299633,5993122.567840122,-0.948445787
326,326,1811686.667160523,5992982.962084299,-9999.0
327,327,1812156.036991858,5992943.148356061,-9999.0
328,328,1812576.150358652,5992932.191724695,-9999.0
329,329,1812762.504190795,5992928.301066966,-0.483668114
330,330,1812194.882280484,5992955.853916414,0.232479438
331,331,1812539.813143065,5992932.655337361,-0.027237193
332,332,1810154.428967376,5992988.177559641,-9999.0
333,333,1811688.845007848,5992934.602801696,-9999.0
334,334,1811977.805268897,5992927.536955522,-9999.0
335,335,1811999.476370856,5992940.063590989,-0.135678576
336,336,1810163.621455136,5992956.482052322,-9999.0
337,337,1810151.142083922,5992941.82439536,-9999.0
338,338,1811689.505892541,5992905.175407617,-9999.0
339,339,1811984.920730517,5992909.408178204,-0.388130408
340,340,1811941.138972955,5992902.020195612,-9999.0
341,341,1807610.131418805,5992985.084088617,-9999.0
342,342,1810142.342453909,5992912.11961829,-9999.0
343,343,1811011.587734103,5992913.094894923,-9999.0
344,344,1811701.774667725,5992879.393526871,-9999.0
345,345,1807714.233161906,5992969.61145597,-9999.0
346,346,1810117.743811461,5992897.754183113,0.517083304
347,347,1811719.500785579,5992860.588484454,-9999.0
348,348,1811799.316577111,5992862.468082306,-9999.0
349,349,1811827.068850375,5992851.604265694,-9999.0
350,350,1807742.079053218,5992939.705414799,-9999.0
351,351,1811886.330223413,5992863.47182123,-0.72399997
352,352,1810109.184514767,5992878.015956279,-9999.0
353,353,1811750.298977748,5992839.836634728,-9999.0
354,354,1807772.801554648,5992916.847395889,-0.812260897
355,355,1811740.395336353,5992814.064754855,-0.911303002
356,356,1811731.532509451,5992805.175546433,-0.759107138
357,357,1807862.99017554,5992892.537733338,-9999.0
358,358,1810091.968857994,5992805.997537049,3.046634119
359,359,1807909.77692518,5992781.864360282,0.084255807
360,360,1807882.279306035,5992716.978849879,-9999.0
361,361,1809975.644420574,5992694.12890048,-9999.0
362,362,1809985.846893501,5992642.672529286,-9999.0
363,363,1809094.993703064,5992665.147985304,-9999.0
364,364,1809136.615738553,5992661.492359961,-9999.0
365,365,1809152.806174496,5992649.010147842,-9999.0
366,366,1809032.661784431,5992644.962969144,-9999.0
367,367,1809989.955449134,5992626.594773464,-9999.0
368,368,1808999.795438995,5992630.436196356,-0.454300025
369,369,1809976.090420498,5992610.308197283,-0.601757605
370,370,1807864.0065174,5992664.583675817,-0.003423429
371,371,1807887.507397893,5992597.189218965,-9999.0
372,372,1809535.613224452,5992557.745303069,-0.398400016
373,373,1807858.636854732,5992595.550986247,-0.262291307
374,374,1807903.189717821,5992576.871259512,-9999.0
375,375,1809935.680121787,5992539.229717481,-0.749750022
376,376,1809175.250767743,5992540.472935633,-0.482682367
377,377,1808737.156009238,5992522.006101636,-9999.0
378,378,1807934.428457304,5992528.088805009,-0.847176471
379,379,1807985.654226288,5992541.630901845,-0.933000028
380,380,1808784.180714881,5992508.539023894,-9999.0
381,381,1809170.24004981,5992496.271503273,0.994823518
382,382,1808713.809838363,5992502.661300469,0.050777754
383,383,1809686.885618654,5992487.221991827,-0.377007042
384,384,1809202.463011749,5992485.966181909,-9999.0
385,385,1809670.799016739,5992464.746047575,-0.577176499
386,386,1808838.196459809,5992464.781106194,-9999.0
387,387,1808136.891941912,5992488.025055094,-9999.0
388,388,1809185.827761411,5992451.131979308,-0.220150016
389,389,1808165.942272242,5992439.203228164,-9999.0
390,390,1808182.359738749,5992409.616780232,-9999.0
391,391,1808911.195272552,5992443.614216781,-0.607854478
392,392,1808958.095252839,5992382.758292991,-9999.0
393,393,1809180.45235184,5992388.754877307,-9999.0
394,394,1808986.076662707,5992372.27840321,-9999.0
395,395,1809000.956425663,5992361.507020589,-9999.0
396,396,1809028.889704316,5992372.869667735,-9999.0
397,397,1809208.091661553,5992326.210837699,-9999.0
398,398,1808208.988743742,5992337.70163114,-9999.0
399,399,1809250.077919064,5992304.164004848,-9999.0
400,400,1809278.283269492,5992265.473393278,-9999.0
401,401,1808224.691302082,5992284.156831867,1.268363618
402,402,1809292.810734046,5992242.306714211,-9999.0
403,403,1808206.613526921,5992250.524586701,0.487499997
404,404,1809309.346881008,5992224.124455945,-9999.0
405,405,1809317.026525136,5992206.86490731,-9999.0
406,406,1811228.579023241,5992150.743964457,-9999.0
407,407,1811293.483370693,5992154.663905536,-9999.0
408,408,1811320.210934018,5992145.705972029,-9999.0
409,409,1811360.845964405,5992146.45989578,-9999.0
410,410,1808164.249920807,5992220.617899215,-0.260502935
411,411,1809358.676400733,5992188.68913611,-0.574270289
