OID,FID_,X,Y,BCE_Peloro
58,58,1683974.604941869,5467808.018973311,-9999.0
59,59,1681285.609052608,5467823.129314159,-9999.0
60,60,1681312.633720365,5467828.200600632,-0.759350017
61,61,1681327.311366044,5467826.868625212,-0.713586234
62,62,1682136.59050786,5467818.7855892,-9999.0
63,63,1683966.61914262,5467797.727777367,-9999.0
64,64,1684125.428432055,5467796.323484727,-9999.0
65,65,1681834.82506257,5467814.685828331,-9999.0
66,66,1683943.82370888,5467788.42360296,-9999.0
67,67,1683990.556345574,5467788.421284286,-9999.0
68,68,1684162.960634163,5467785.175687273,-9999.0
69,69,1681828.495565596,5467801.838672419,-0.426714296
70,70,1685380.510289399,5467761.925280069,-9999.0
71,71,1682276.7108998,5467787.677705243,-9999.0
72,72,1681837.649181863,5467787.004790382,-0.5969845
73,73,1681881.245370355,5467771.560161135,-9999.0
74,74,1685070.276736051,5467736.121866529,-9999.0
75,75,1685111.621278685,5467734.598489792,-9999.0
76,76,1681851.309696846,5467768.568755217,-0.3675188
77,77,1685340.194382684,5467727.205390481,-0.430499973
78,78,1681911.17814339,5467751.28079881,-9999.0
79,79,1684175.993597892,5467726.342668821,0.550666673
80,80,1685037.223021708,5467719.102520614,-9999.0
81,81,1685138.205740675,5467726.165922039,-0.951999962
82,82,1681893.865510838,5467741.500272674,-0.395204051
83,83,1685070.017576777,5467707.961574472,-9999.0
84,84,1681931.453679741,5467721.135630047,-0.214028577
85,85,1681955.696540744,5467724.854997759,-0.751789984
86,86,1682110.02749954,5467719.145670258,-9999.0
87,87,1682135.477733699,5467719.066247638,-9999.0
88,88,1683935.543385006,5467698.758870115,-9999.0
89,89,1684154.435361664,5467735.615520529,-0.667719339
90,90,1681073.203875426,5467780.194827433,-0.73533079
91,91,1680997.840594829,5467722.076840399,-9999.0
92,92,1681991.894251449,5467715.476001099,-0.593197187
93,93,1682046.826490892,5467719.456871851,-0.19874996
94,94,1685182.80292448,5467716.677759491,0.390485175
95,95,1681394.32488518,5467711.99725873,-0.190314285
96,96,1682324.002612566,5467701.22599265,-9999.0
97,97,1683922.42796078,5467688.972515699,-9999.0
98,98,1683950.134715052,5467678.645976294,-9999.0
