OID,FID_,X,Y,BCE_Queen_
479,479,1693992.358301096,5438801.221836694,-0.303803872
480,480,1696856.157376353,5438731.312550685,-9999.0
481,481,1693970.900674422,5438752.16902509,-9999.0
482,482,1706028.756843213,5438577.969461237,-0.025905857
483,483,1705991.239873733,5438560.20599104,0.607025019
484,484,1705908.296848902,5438541.336763739,-0.186702655
485,485,1696878.159663607,5438672.352251302,-0.014306425
486,486,1705836.37775562,5438517.53348172,0.72771379
487,487,1696884.228225638,5438624.935930587,-0.533999951
488,488,1693645.889040257,5438635.554844097,-0.469999969
489,489,1705474.391744791,5438475.834776884,-9999.0
490,490,1705684.105385273,5438473.498900819,-0.537843704
491,491,1705673.404183188,5438463.950307408,-0.230449976
492,492,1705282.06302366,5438450.040241437,0.239617672
493,493,1705373.328064713,5438454.906857616,0.602044787
494,494,1705578.748401831,5438460.948599921,0.916312824
495,495,1693630.119134404,5438481.615731868,-9999.0
496,496,1693450.012415345,5438283.513745678,-9999.0
497,497,1698100.536373592,5438207.837751042,-0.122374949
498,498,1698091.506449895,5438184.026376509,2.575469246
499,499,1704376.67082513,5438033.569588922,0.593200045
500,500,1704567.957358373,5438030.463953433,0.905730184
501,501,1696327.959832513,5438133.825825319,-9999.0
502,502,1704398.756555019,5438023.321363547,-0.456701478
503,503,1696335.403858665,5438123.811902857,-9999.0
504,504,1704584.935753774,5438016.201416508,1.286887594
505,505,1705264.410391739,5437993.11203251,1.409666638
506,506,1704619.804591108,5437985.401337622,0.419327454
507,507,1704709.162619881,5437954.43640261,-0.296398554
508,508,1704785.492851083,5437937.415471015,-0.64941172
509,509,1695347.204825952,5438045.70722348,0.703962967
510,510,1702922.353717463,5437950.871963232,1.059598626
511,511,1702977.201772698,5437933.811616063,-0.48890192
512,512,1702991.830638964,5437922.962364483,-0.230337988
513,513,1705087.882387616,5437893.169392093,0.076478023
514,514,1705149.402993351,5437894.11979853,-0.829555505
515,515,1703010.412428879,5437912.585862312,0.034374014
516,516,1704910.772232289,5437900.975069466,0.225238402
517,517,1695112.771801587,5438031.770329919,2.826869582
518,518,1691614.356802324,5438066.039312514,0.322692331
519,519,1703032.725588541,5437892.321617958,-0.319962936
520,520,1694541.613792408,5437985.925397397,2.776500018
521,521,1703067.201064623,5437873.634911413,0.358782958
522,522,1694697.277041044,5437982.124351685,-0.122118265
523,523,1696393.860658908,5437952.875096779,-0.317864551
