latitude,longitude,mhws10,mhwsc,hat,lat,mask
-36.837356567400001,174.751663207999997,1.519468784330000,1.697257637980000,1.843374133110000,-1.759876728060000,0.000000000000000
-36.838989257800002,174.752624512000011,1.521024823190000,1.698887228970000,1.845098614690000,-1.759846687320000,0.000000000000000
-36.839202880899997,174.753189087000010,1.521001696590000,1.698864340780000,1.845083594320000,-1.759855151180000,0.000000000000000
-36.838993072500003,174.753616332999997,1.520796656610000,1.698626995090000,1.844858646390000,-1.759775161740000,0.000000000000000
-36.838336944600002,174.752441406000003,1.520395994190000,1.698208808900000,1.844401955600000,-1.759737849240000,0.000000000000000
-36.837680816700001,174.752288818000011,1.519840955730000,1.697624325750000,1.843792200090000,-1.759710788730000,0.000000000000000
-36.838916778600002,174.754119873000008,1.520796895030000,1.698630809780000,1.844866991040000,-1.759868144990000,0.000000000000000
-36.839191436800000,174.754577637000011,1.520577788350000,1.698398709300000,1.844631791110000,-1.759783387180000,0.000000000000000
-36.838924407999997,174.754882812000005,1.520722746850000,1.698554873470000,1.844797492030000,-1.760069012640000,0.000000000000000
-36.842948913599997,174.758300781000003,1.509906649590000,1.686183333400000,1.829941749570000,-1.750341176990000,0.000000000000000
-36.843406677200001,174.758697509999990,1.509912014010000,1.686188459400000,1.829947113990000,-1.750348091130000,0.000000000000000
-36.842555999799998,174.758468628000003,1.509905099870000,1.686177492140000,1.829937458040000,-1.750336766240000,0.000000000000000
-36.843315124500002,174.759124756000006,1.509912610050000,1.686188817020000,1.829947233200000,-1.750346779820000,0.000000000000000
-36.843551635700003,174.759460448999988,1.509907960890000,1.686183452610000,1.829941868780000,-1.750346541400000,0.000000000000000
-36.843318939200003,174.759780884000008,1.509916067120000,1.686190247540000,1.829949617390000,-1.750347137450000,0.000000000000000
-36.842502594000003,174.761962890999996,1.509924173360000,1.686192274090000,1.829953551290000,-1.750348806380000,0.000000000000000
-36.842800140400001,174.761825562000013,1.509926915170000,1.686194658280000,1.829956054690000,-1.750352263450000,0.000000000000000
-36.842201232900003,174.762100220000008,1.509925484660000,1.686193943020000,1.829955101010000,-1.750348091130000,0.000000000000000
-36.835475921600001,174.749832153000000,1.521279811860000,1.698982596400000,1.844952225690000,-1.762157320980000,0.000000000000000
-36.835880279500003,174.750289917000003,1.520463943480000,1.698372125630000,1.844415664670000,-1.761489987370000,0.000000000000000
-36.836196899400001,174.750961303999986,1.519551634790000,1.697438001630000,1.843463897710000,-1.760549783710000,0.000000000000000
-36.836555480999998,174.751693726000013,1.519572377200000,1.697394728660000,1.843524813650000,-1.760359406470000,0.000000000000000
-36.829566955600001,174.744659423999991,1.528769016270000,1.707683324810000,1.855272173880000,-1.769934773450000,0.000000000000000
-36.830345153800003,174.744812012000011,1.528817296030000,1.707763433460000,1.855184316640000,-1.769632816310000,0.000000000000000
-36.830818176299999,174.745330811000002,1.527907252310000,1.706581592560000,1.853899002080000,-1.768553018570000,0.000000000000000
-36.828674316399997,174.744827270999991,1.527451395990000,1.706240892410000,1.854065656660000,-1.769181966780000,0.000000000000000
-36.827888488799999,174.744964600000003,1.527014851570000,1.705775618550000,1.853927493100000,-1.768853187560000,0.000000000000000
-36.827117919899997,174.745086670000006,1.528281927110000,1.707070708270000,1.855523943900000,-1.770267844200000,0.000000000000000
-36.826313018800001,174.745208740000010,1.528489112850000,1.707577109340000,1.856471776960000,-1.770650625230000,0.000000000000000
