latitude,longitude,mhws10,mhwsc,hat,lat,mask
-41.264240264900003,173.279342651000007,1.744334936140000,1.949923396110000,2.125080823900000,-1.886414289470000,0.000000000000000
-41.264503478999998,173.279571532999995,1.744174480440000,1.949790120120000,2.124936819080000,-1.885825872420000,0.000000000000000
-41.263927459700000,173.279434204000012,1.744110107420000,1.949725747110000,2.124862194060000,-1.885760307310000,0.000000000000000
-41.264190673800002,173.279693603999988,1.744231104850000,1.949797034260000,2.124959945680000,-1.886024236680000,0.000000000000000
-41.264160156199999,173.279998779000010,1.744227528570000,1.949713110920000,2.124834299090000,-1.885614752770000,0.000000000000000
-41.263603210399999,173.279464722000000,1.744185805320000,1.949830651280000,2.124978303910000,-1.886021256450000,0.000000000000000
-41.263957977300002,173.280120850000003,1.744148969650000,1.949841022490000,2.125031948090000,-1.886236548420000,0.000000000000000
-41.263809204099999,173.279815673999991,1.744227886200000,1.949873209000000,2.125042915340000,-1.886307477950000,0.000000000000000
-41.263725280800003,173.280166626000010,1.744165062900000,1.949526906010000,2.124629497530000,-1.885143399240000,0.000000000000000
-41.263061523399998,173.280792235999996,1.819597601890000,2.088579893110000,2.267119884490000,-2.192606925960000,0.000000000000000
-41.262825012199997,173.280807495000005,1.818891048430000,2.087515115740000,2.265830278400000,-2.190247297290000,0.000000000000000
-41.262302398700001,173.280715942000000,1.834379673000000,2.116299152370000,2.297066688540000,-2.255879879000000,0.000000000000000
-41.262428283699997,173.280960082999997,1.834416270260000,2.116360187530000,2.297142267230000,-2.256030559540000,0.000000000000000
-41.261901855500000,173.280487061000002,1.834318041800000,2.116229057310000,2.296985149380000,-2.255833387370000,0.000000000000000
-41.262294769299999,173.281204223999993,1.834372043610000,2.116297006610000,2.297064781190000,-2.255909442900000,0.000000000000000
-41.262191772500003,173.281478881999988,1.834367513660000,2.116297721860000,2.297058582310000,-2.255936622620000,0.000000000000000
-41.262100219700002,173.281723021999994,1.834376096730000,2.116307735440000,2.297079563140000,-2.255933284760000,0.000000000000000
