latitude,longitude,mhws10,mhwsc,hat,lat,mask
-37.560688018800001,175.962081909000005,0.925032556057000,1.011278748510000,1.115664362910000,-1.086204171180000,0.000000000000000
-37.559764862100003,175.962203979000009,0.926808834076000,1.014690399170000,1.118919253350000,-1.095974326130000,0.000000000000000
-37.561256408699997,175.961273193000011,0.924225091934000,1.009706139560000,1.114295005800000,-1.082220554350000,0.000000000000000
-37.558780670200001,175.962234496999997,0.926373660564000,1.014437556270000,1.118647694590000,-1.096196055410000,0.000000000000000
-37.558319091800001,175.963043212999992,0.926189780235000,1.014441013340000,1.118691444400000,-1.097362399100000,0.000000000000000
-37.557849883999999,175.963653563999998,0.926114737988000,1.014138340950000,1.118382811550000,-1.096842169760000,0.000000000000000
-37.557731628399999,175.964462279999992,0.926100432873000,1.014059662820000,1.118271470070000,-1.097421526910000,0.000000000000000
-37.562362670900001,175.965942382999998,0.922353625298000,1.006462216380000,1.110552787780000,-1.074910044670000,0.000000000000000
-37.559833526600002,175.964996337999992,0.925163805485000,1.012333393100000,1.116255760190000,-1.091099381450000,0.000000000000000
-37.560958862299998,175.965545654000010,0.924563467503000,1.011007428170000,1.114949345590000,-1.086736917500000,0.000000000000000
-37.558700561499997,175.965179443000011,0.925210058689000,1.012824535370000,1.116659641270000,-1.093458533290000,0.000000000000000
-37.681503295900001,176.098617553999986,0.889119446278000,0.928402960300000,1.030349135400000,-0.563088893890000,0.000000000000000
-37.681518554699998,176.098281859999986,0.889133393764000,0.928391098976000,1.030346751210000,-0.563086986542000,0.000000000000000
-37.681552887000002,176.097900390999996,0.889306604862000,0.928520023823000,1.030464172360000,-0.563618719578000,0.000000000000000
-37.646156310999999,176.073699951000009,0.946110725403000,1.044494628910000,1.153403520580000,-1.190982103350000,0.000000000000000
-37.647377014200003,176.073287964000002,0.945813596249000,1.044277906420000,1.153188347820000,-1.190658926960000,0.000000000000000
-37.649436950700000,176.073120117000002,0.946581125259000,1.045082926750000,1.154142498970000,-1.191362380980000,0.000000000000000
-37.648391723600000,176.073822021000012,0.946427166462000,1.044960021970000,1.153916358950000,-1.191396117210000,0.000000000000000
-37.655418396000002,176.069976806999989,0.948344528675000,1.046821355820000,1.156200885770000,-1.192500472070000,0.000000000000000
-37.656715393100001,176.067932129000013,0.948933064938000,1.047349929810000,1.156829833980000,-1.191793918610000,0.000000000000000
-37.656162262000002,176.068862915000011,0.948596715927000,1.046951889990000,1.156366229060000,-1.191508293150000,0.000000000000000
-37.655941009499998,176.069625854000009,0.948720216751000,1.047082662580000,1.156434059140000,-1.192000865940000,0.000000000000000
-37.657566070599998,176.068161011000001,0.948987305164000,1.047333240510000,1.156768083570000,-1.191607952120000,0.000000000000000
-37.655513763400002,176.070709228999988,0.947845876217000,1.046263337140000,1.155569434170000,-1.191645860670000,0.000000000000000
-37.654930114700001,176.071136475000003,0.947617709637000,1.046048760410000,1.155348300930000,-1.191955685620000,0.000000000000000
-37.654357910199998,176.071548462000010,0.947682261467000,1.046223282810000,1.155414104460000,-1.191971063610000,0.000000000000000
-37.653789520300002,176.071929931999989,0.947343587875000,1.045789003370000,1.154949784280000,-1.191302061080000,0.000000000000000
